"AtomicLevel.symbol";"AtomicLevel.level";"AtomicLevel.number";"ExcitationEnergy";"SensitivityFactor";"Reference"
"U";"5d";92;1487 eV;0.079152 Mb;""
"U";"5f5/2";92;1487 eV;0.0047463999999999996 Mb;""
"U";"5f7/2";92;1487 eV;0.0059160000000000003 Mb;""
"U";"5f";92;1487 eV;0.010662400000000001 Mb;""
"U";"6s";92;1487 eV;0.0022875199999999999 Mb;""
"U";"6pl/2";92;1487 eV;0.0018087999999999999 Mb;""
"U";"6p3/2";92;1487 eV;0.0051136000000000003 Mb;""
"U";"6p";92;1487 eV;0.0069224000000000004 Mb;""
"U";"6d3/2";92;1487 eV;0.00024343999999999999 Mb;""
"U";"6d5/2";92;1487 eV;0.00033048000000000002 Mb;""
"U";"6d";92;1487 eV;0.00057392000000000001 Mb;""
"U";"7s";92;1487 eV;0.00026792 Mb;""
"Np";"4s";93;1487 eV;0.027199999999999998 Mb;""
"Np";"4p1/2";93;1487 eV;0.021895999999999999 Mb;""
"Np";"4p3/2";93;1487 eV;0.106488 Mb;""
"Np";"4p";93;1487 eV;0.128384 Mb;""
"Np";"4d3/2";93;1487 eV;0.155584 Mb;""
"Np";"4d5/2";93;1487 eV;0.23718400000000001 Mb;""
"Np";"4d";93;1487 eV;0.39276800000000001 Mb;""
"Np";"4f5/2";93;1487 eV;0.31157600000000002 Mb;""
"Np";"4f7/2";93;1487 eV;0.39684799999999998 Mb;""
"Np";"4f";93;1487 eV;0.70842400000000005 Mb;""
"Np";"5s";93;1487 eV;0.010145599999999999 Mb;""
"Np";"5p1/2";93;1487 eV;0.0092207999999999995 Mb;""
"Np";"5p3/2";93;1487 eV;0.031415999999999999 Mb;""
"Np";"5p";93;1487 eV;0.040636800000000001 Mb;""
"Np";"5d3/2";93;1487 eV;0.033456 Mb;""
"Np";"5d5/2";93;1487 eV;0.049231999999999998 Mb;""
"Np";"5d";93;1487 eV;0.082687999999999998 Mb;""
"Np";"5f5/2";93;1487 eV;0.0070992 Mb;""
"Np";"5f7/2";93;1487 eV;0.0088672000000000004 Mb;""
"Np";"5f";93;1487 eV;0.015966399999999999 Mb;""
"Np";"6s";93;1487 eV;0.0023514400000000002 Mb;""
"Np";"6pl/2";93;1487 eV;0.00184144 Mb;""
"Np";"6p3/2";93;1487 eV;0.0053039999999999997 Mb;""
"Np";"6p";93;1487 eV;0.0071454400000000003 Mb;""
"Np";"6d3/2";93;1487 eV;0.00024887999999999999 Mb;""
"Np";"6d5/2";93;1487 eV;0.00033728000000000002 Mb;""
"Np";"6d";93;1487 eV;0.00058615999999999996 Mb;""
"Np";"7s";93;1487 eV;0.00027064 Mb;""
"Pu";"4p1/2";94;1487 eV;0.020944000000000001 Mb;""
"Pu";"4p3/2";94;1487 eV;0.10811999999999999 Mb;""
"Pu";"4p";94;1487 eV;0.12906400000000001 Mb;""
"Pu";"4d3/2";94;1487 eV;0.15776000000000001 Mb;""
"Pu";"4d5/2";94;1487 eV;0.24221599999999999 Mb;""
"Pu";"4d";94;1487 eV;0.399976 Mb;""
"Pu";"4f5/2";94;1487 eV;0.33129599999999998 Mb;""
"Pu";"4f7/2";94;1487 eV;0.42200799999999999 Mb;""
"Pu";"4f";94;1487 eV;0.75330399999999997 Mb;""
"Pu";"5s";94;1487 eV;0.0103088 Mb;""
"Pu";"5p1/2";94;1487 eV;0.0089759999999999996 Mb;""
"Pu";"5p3/2";94;1487 eV;0.032096 Mb;""
"Pu";"5p";94;1487 eV;0.041071999999999997 Mb;""
"Pu";"5d3/2";94;1487 eV;0.034816 Mb;""
"Pu";"5d5/2";94;1487 eV;0.051136000000000001 Mb;""
"Pu";"5d";94;1487 eV;0.085952000000000001 Mb;""
"Pu";"5f5/2";94;1487 eV;0.0110432 Mb;""
"Pu";"5f7/2";94;1487 eV;0.013736 Mb;""
"Pu";"5f";94;1487 eV;0.024779200000000001 Mb;""
"Pu";"6s";94;1487 eV;0.0023392 Mb;""
"Pu";"6pl/2";94;1487 eV;0.00178568 Mb;""
"Pu";"6p3/2";94;1487 eV;0.0051679999999999999 Mb;""
"Pu";"6p";94;1487 eV;0.0069536800000000003 Mb;""
"Pu";"7s";94;1487 eV;0.00023120000000000001 Mb;""
"Am";"4p1/2";95;1487 eV;0.019991999999999999 Mb;""
"Am";"4p3/2";95;1487 eV;0.109888 Mb;""
"Am";"4p";95;1487 eV;0.12988 Mb;""
"Am";"4d3/2";95;1487 eV;0.159664 Mb;""
"Am";"4d5/2";95;1487 eV;0.24670400000000001 Mb;""
"Am";"4d";95;1487 eV;0.40636800000000001 Mb;""
"Am";"4f5/2";95;1487 eV;0.35183199999999998 Mb;""
"Am";"4f7/2";95;1487 eV;0.44812000000000002 Mb;""
"Am";"4f";95;1487 eV;0.799952 Mb;""
"Am";"5s";95;1487 eV;0.0104584 Mb;""
"Am";"5p1/2";95;1487 eV;0.0092479999999999993 Mb;""
"Am";"5p3/2";95;1487 eV;0.033591999999999997 Mb;""
"Am";"5p";95;1487 eV;0.042840000000000003 Mb;""
"Am";"5d3/2";95;1487 eV;0.036176 Mb;""
"Am";"5d5/2";95;1487 eV;0.053311999999999998 Mb;""
"Am";"5d";95;1487 eV;0.089487999999999998 Mb;""
"Am";"5f5/2";95;1487 eV;0.014279999999999999 Mb;""
"Am";"5f7/2";95;1487 eV;0.017680000000000001 Mb;""
"Am";"5f";95;1487 eV;0.031960000000000002 Mb;""
"Am";"6s";95;1487 eV;0.0023908800000000002 Mb;""
"Am";"6pl/2";95;1487 eV;0.001802 Mb;""
"Am";"6p3/2";95;1487 eV;0.0053175999999999996 Mb;""
"Am";"6p";95;1487 eV;0.0071196000000000002 Mb;""
"Am";"7s";95;1487 eV;0.00023120000000000001 Mb;""
"Cm";"4p3/2";96;1487 eV;0.11165600000000001 Mb;""
"Cm";"4p";96;1487 eV;0.11165600000000001 Mb;""
"Cm";"4d3/2";96;1487 eV;0.16156799999999999 Mb;""
"Cm";"4d5/2";96;1487 eV;0.25064799999999998 Mb;""
"Cm";"4d";96;1487 eV;0.41221600000000003 Mb;""
"Cm";"4f5/2";96;1487 eV;0.37331999999999999 Mb;""
"Cm";"4f7/2";96;1487 eV;0.47559200000000001 Mb;""
"Cm";"4f";96;1487 eV;0.848912 Mb;""
"Cm";"5s";96;1487 eV;0.010607999999999999 Mb;""
"Cm";"5p1/2";96;1487 eV;0.0092479999999999993 Mb;""
"Cm";"5p3/2";96;1487 eV;0.034816 Mb;""
"Cm";"5p";96;1487 eV;0.044063999999999999 Mb;""
"Cm";"5d3/2";96;1487 eV;0.037808000000000001 Mb;""
"Cm";"5d5/2";96;1487 eV;0.055896000000000001 Mb;""
"Cm";"5d";96;1487 eV;0.093703999999999996 Mb;""
"Cm";"5f5/2";96;1487 eV;0.016591999999999999 Mb;""
"Cm";"5f7/2";96;1487 eV;0.020671999999999999 Mb;""
"Cm";"5f";96;1487 eV;0.037263999999999999 Mb;""
"Cm";"6s";96;1487 eV;0.00250512 Mb;""
"Cm";"6pl/2";96;1487 eV;0.0018904 Mb;""
"Cm";"6p3/2";96;1487 eV;0.0057936000000000003 Mb;""
"Cm";"6p";96;1487 eV;0.0076839999999999999 Mb;""
"Cm";"6d3/2";96;1487 eV;0.00025839999999999999 Mb;""
"Cm";"6d5/2";96;1487 eV;0.00034136000000000002 Mb;""
"Cm";"6d";96;1487 eV;0.00059975999999999996 Mb;""
"Cm";"7s";96;1487 eV;0.00027472 Mb;""
