Ba_3d_BE	Ba_3d_cps	O_1s_(2)_BE	O_1s_(2)_cps	O_1s_BE	O_1s_cps	C_1s_BE	C_1s_cps	N_1s_BE	N_1s_cps	Cl_2p_BE	Cl_2p_cps	Au_4f_BE	Au_4f_cps	overview_BE	overview_cps	
777.1	8159.5781	NaN	NaN	553.1	7260.325	288.1	4049.1429	398.1	6792.225	197.1	3890.2083	88.1	15806.875	1131.0	8885
777.0	8150.2656	NaN	NaN	553.0	7238.925	288.0	4051.8571	398.0	6786.77	197.0	3884.0625	88.0	16133.75	1130.0	8965
776.9	8162.8594	NaN	NaN	552.9	7255.425	287.9	4072.1786	397.9	6782.645	196.9	3878.375	87.9	16308.75	1129.0	8805
776.8	8171.0625	NaN	NaN	552.8	7279.625	287.8	4097.2143	397.8	6788.56	196.8	3892.6875	87.8	16149.375	1128.0	8885
776.7	8157.0781	NaN	NaN	552.7	7280.025	287.7	4114.0714	397.7	6771.74	196.7	3892.4792	87.7	15670.625	1127.0	9485
776.6	8145.2188	NaN	NaN	552.6	7286.825	287.6	4136.375	397.6	6785.14	196.6	3887.7917	87.6	15023.75	1126.0	9270
776.5	8172.7813	NaN	NaN	552.5	7285.375	287.5	4176.3571	397.5	6784.43	196.5	3894.7292	87.5	14481.875	1125.0	9150
776.4	8152.3281	NaN	NaN	552.4	7337.325	287.4	4192.5714	397.4	6787.335	196.4	3914.25	87.4	13333.75	1124.0	8895
776.3	8138.2656	NaN	NaN	552.3	7322.4	287.3	4222.4107	397.3	6777.655	196.3	3885.9583	87.3	12350.0	1123.0	9145
776.2	8141.4063	NaN	NaN	552.2	7350.375	287.2	4235.9107	397.2	6780.145	196.2	3884.3542	87.2	11448.125	1122.0	8755
776.1	8149.9844	NaN	NaN	552.1	7376.475	287.1	4281.9286	397.1	6785.505	196.1	3878.3333	87.1	10501.25	1121.0	8805
776.0	8143.7656	NaN	NaN	552.0	7349.675	287.0	4319.5536	397.0	6788.615	196.0	3886.1042	87.0	9509.375	1120.0	9020
