Ba_3d_BE	Ba_3d_cps	O_1s_(2)_BE	O_1s_(2)_cps	O_1s_BE	O_1s_cps	C_1s_BE	C_1s_cps	N_1s_BE	N_1s_cps	Cl_2p_BE	Cl_2p_cps	Au_4f_BE	Au_4f_cps	overview_BE	overview_cps	
NaN	NaN	NaN	NaN	550.4	7970.5	285.4	4684.25	395.4	7035.0556	NaN	NaN	85.4	9460.0	1104.0	8970
NaN	NaN	NaN	NaN	550.3	8077.625	285.3	4662.4375	395.3	7040.0278	NaN	NaN	85.3	10223.75	1103.0	8900
NaN	NaN	NaN	NaN	550.2	8066.375	285.2	4646.125	395.2	7035.3333	NaN	NaN	85.2	11222.5	1102.0	8720
NaN	NaN	NaN	NaN	550.1	8107.125	285.1	4635.0	395.1	7030.7778	NaN	NaN	85.1	12356.25	1101.0	8960
NaN	NaN	NaN	NaN	550.0	8109.375	285.0	4570.3125	395.0	7023.3333	NaN	NaN	85.0	13468.75	1100.0	9225
NaN	NaN	NaN	NaN	549.9	8233.125	284.9	4569.625	NaN	NaN	NaN	NaN	84.9	14525.0	1099.0	8970
NaN	NaN	NaN	NaN	549.8	8200.75	284.8	4541.25	NaN	NaN	NaN	NaN	84.8	15773.75	1098.0	8475
NaN	NaN	NaN	NaN	549.7	8273.0	284.7	4474.5	NaN	NaN	NaN	NaN	84.7	16730.0	1097.0	8970
NaN	NaN	NaN	NaN	549.6	8262.25	284.6	4434.9375	NaN	NaN	NaN	NaN	84.6	17871.25	1096.0	8590
NaN	NaN	NaN	NaN	549.5	8325.875	284.5	4406.9375	NaN	NaN	NaN	NaN	84.5	18862.5	1095.0	9040
NaN	NaN	NaN	NaN	549.4	8353.25	284.4	4357.625	NaN	NaN	NaN	NaN	84.4	19375.0	1094.0	9100
NaN	NaN	NaN	NaN	549.3	8490.875	284.3	4348.125	NaN	NaN	NaN	NaN	84.3	19678.75	1093.0	8870
NaN	NaN	NaN	NaN	549.2	8480.25	284.2	4270.4375	NaN	NaN	NaN	NaN	84.2	19751.25	1092.0	8980
NaN	NaN	NaN	NaN	549.1	8519.375	284.1	4250.9375	NaN	NaN	NaN	NaN	84.1	19430.0	1091.0	9070
NaN	NaN	NaN	NaN	549.0	8569.625	284.0	4220.1875	NaN	NaN	NaN	NaN	84.0	18770.0	1090.0	8760
NaN	NaN	NaN	NaN	548.9	8540.75	283.9	4201.4375	NaN	NaN	NaN	NaN	83.9	17831.25	1089.0	8595
