path=/Users/pabloherrero/sabat/xps_spectra/FBI_Cu/G2_Cu/2022_06_30_G2SL/20220630_Cu_G2SL_subl_90min_lowstep.xy
delimiters=([44, 275, 474, 675, 806, 1015, 1427], [201, 169, 171, 101, 179, 382, 7018], ['Si_2p', 'O_1s', 'N_1s', 'Si_2s', 'C_1s', 'Cu_2p', 'survey_hd'])
name=G2SL 90min_lowstep
label=20220630_Cu_G2SL_subl_90min_lowstep
date=20.22.0630
other_meta=Cu_G2SL_subl_90min_lowstep
area=
fit={}
color=
dfx=
range,Si_2p,Si_2p,O_1s,O_1s,N_1s,N_1s,Si_2s,Si_2s,C_1s,C_1s,Cu_2p,Cu_2p,survey_hd,survey_hd,C_1s_bg,C_1s_bg,O_1s_bg,O_1s_bg,N_1s_bg,N_1s_bg,Si_2p_bg,Si_2p_bg,Si_2s_bg,Si_2s_bg,Cu_2p_bg,Cu_2p_bg
properties,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts
27,104.01,0.2975139094371002,534.21,0.4051351269370067,404.3,0.10419237024389316,157.3,0.12715050860817634,289.21,0.16817177620056611,957.3,9.212963549369661,1394.6,72.892532,289.21,3.4475874237994337,534.21,2.809136873062993,404.3,2.913925429756107,104.01,4.9472141905628995,157.3,4.623799991391824,957.3,106.11093645063033
28,103.91,0.3391357516320799,534.11,0.4824426171245384,404.2,0.09066712184098868,157.2,0.07085585467276978,289.11,0.22639696553379096,957.2,8.802392157582872,1394.4,72.69494,289.11,3.4472612344662092,534.11,2.8061626828754616,404.2,2.9137571781590115,103.91,4.94602414836792,157.2,4.626708345327231,957.2,106.06081784241712
29,103.81,0.3225080134606948,534.01,0.5186037300231598,404.1,0.08223951821178854,157.1,0.07113660658102994,289.01,0.24970105499074435,957.1,8.98990020487075,1394.2,74.238855,289.01,3.4468676450092555,534.01,2.80280826997684,404.1,2.9136078817882116,103.81,4.944787386539305,157.1,4.62962689341897,957.1,106.01131979512925
30,103.71,0.2773334528619005,533.91,0.5715953855393177,404.0,0.08522321404095079,157.0,0.061386081542190496,288.91,0.2810844545073934,957.0,10.859110028534957,1394.0,72.773086,288.91,3.4464288454926066,533.91,2.7991551144606825,404.0,2.913463285959049,103.71,4.943666147138099,157.0,4.63255571845781,957.0,105.95609997146504
31,103.61,0.3123879756375194,533.81,0.6419619027951837,403.9,0.08483354970599422,156.9,0.05385922562887835,288.81,0.3276786179504074,956.9,11.134205295675002,1393.8,72.026311,288.81,3.4459255820495924,533.81,2.795088597204816,403.9,2.9133164502940057,103.61,4.94256382436248,156.9,4.635494974371122,956.9,105.894914704325
32,103.51,0.3238419332629201,533.71,0.6774131053693879,403.8,0.09598067393719445,156.8,0.041500323527640326,288.71,0.28021055894691926,956.8,13.84517778483793,1393.6,71.818138,288.71,3.445423041053081,533.71,2.790667494630612,403.8,2.9131603260628056,103.51,4.94137456673708,156.8,4.638444876472359,956.8,105.82542221516206
33,103.41,0.32085211227629085,533.61,0.7748106717882361,403.7,0.07713184813897112,156.7,0.10908470606580067,288.61,0.33672447814335627,956.7,13.31169804532449,1393.4,72.035704,288.61,3.4449130218566437,533.61,2.785801228211764,403.7,2.9130108518610287,103.41,4.9401694877237095,156.7,4.6414056939342,956.7,105.74987195467551
34,103.31,0.3542866994322962,533.51,0.8456279103401183,403.6,0.06554794516819307,156.6,0.04427606257035421,288.51,0.4402243805093158,956.6,13.096174583403055,1393.2,70.384555,288.51,3.4442707194906843,533.51,2.7803712896598816,403.6,2.912887654831807,103.31,4.938907500567704,156.6,4.644377737429646,956.6,105.67640541659695
35,103.21,0.34842222134789136,533.41,0.9105357509815786,403.5,0.05593734179346166,156.5,0.044684373283594425,288.41,0.4931773221905309,956.5,13.539384543797567,1393.0,69.722064,288.41,3.443499077809469,533.41,2.7744865490184214,403.5,2.9127827582065384,103.21,4.937593978652108,156.5,4.647361426716405,956.5,105.60230545620243
36,103.11,0.3931980774130803,533.31,0.9784173566789778,403.4,0.07520097338314713,156.4,0.08559427417174881,288.31,0.41882807558366686,956.4,15.010018806911589,1392.8,70.124503,288.31,3.442745124416333,533.31,2.768156843321022,403.4,2.912669526616853,103.11,4.93620772258692,156.4,4.650357225828251,956.4,105.52288119308841
