path=/Users/pabloherrero/sabat/xps_spectra/FBI_Cu/G2_Cu/2022_06_30_G2SL/20220630_Cu_G2SL_subl_90min.xy
delimiters=([44, 1015, 1126, 1257, 1417, 1562, 1748, 1863, 1983, 2067, 3502, 3622], [941, 81, 101, 130, 115, 156, 85, 90, 54, 1405, 90, 7018], ['survey', 'C_1s(2)', 'Si_2p', 'Na_1s', 'F_1s', 'Ba_3d5/2', 'O_1s', 'N_1s', 'Si_2s', 'survey_(2)', 'C_1s', 'survey_hd'])
name=Cu_G2SL_subl_90min
label=20220630_Cu_G2SL_subl_90min
date=20.22.0630
other_meta=Cu_G2SL_subl_90min
area=
fit={}
color=
dfx=
range,survey,survey,C_1s(2),C_1s(2),Si_2p,Si_2p,Na_1s,Na_1s,F_1s,F_1s,Ba_3d5/2,Ba_3d5/2,O_1s,O_1s,N_1s,N_1s,Si_2s,Si_2s,survey_(2),survey_(2),C_1s,C_1s,survey_hd,survey_hd,C_1s_bg,C_1s_bg,O_1s_bg,O_1s_bg,N_1s_bg,N_1s_bg,Si_2p_bg,Si_2p_bg,Si_2s_bg,Si_2s_bg
properties,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts
22,914.71,17.819614,295.31,2.9827052,102.31,0.547165139828131,1082.3253,76.062462,692.32737,33.131889,796.6,36.909317,532.55929,1.2838611857447546,402.64045,0.3772863882269699,155.84906,0.07009044481268845,1378.0111,44.336359,287.57169,1.2035256926476507,1395.6,77.79509,287.57169,3.3891276073523495,532.55929,2.6987282142552456,402.64045,2.8314381117730303,102.31,4.900913560171869,155.84906,4.634610755187311
23,913.71,17.022133,295.11,3.1129563,102.11,0.5474980286528073,1082.126,76.206195,692.12816,32.605411,796.4,37.120927,532.36036,1.2920649801038362,402.44944,0.20217402486547797,155.66038,0.20354213772633845,1377.0116,40.897368,287.3727,1.3071257155386804,1395.4,80.603187,287.3727,3.38630748446132,532.36036,2.683438619896164,402.44944,2.833663075134522,102.11,4.896146371347193,155.66038,4.6404979622736615
24,912.71,15.988078,294.91,3.2310667,101.91,0.4722390201431841,1081.9267,76.61238,691.92895,32.427044,796.2,36.446882,532.16143,1.4178560110240221,402.25843,0.17750416565249472,155.4717,0.272768049151086,1376.0121,44.908378,287.17371,1.441677545762329,1395.2,76.821102,287.17371,3.3832198542376712,532.16143,2.667353688975978,402.25843,2.8351209343475055,101.91,4.891705479856816,155.4717,4.650745750848914
25,911.71,16.953243,294.71,3.0505535,101.71,0.376283485026347,1081.7274,77.387325,691.72974,32.56458,796.0,36.749744,531.9625,1.3715884598663193,402.06742,0.3646423754417425,155.28302,0.09436940019243867,1375.0126,45.124111,286.97472,1.4525796591947522,1395.0,75.833227,286.97472,3.3799688408052475,531.9625,2.650796740133681,402.06742,2.8372026245582576,101.71,4.888010214973653,155.28302,4.658644699807561
26,910.71,16.805845,294.51,3.6107851,101.51,0.2667789864629748,1081.5281,77.838666,691.53053,32.460348,795.8,35.820269,531.76357,1.3100474033969784,401.8764,0.4836945337840759,155.09434,0.2688360508272485,1374.0131,40.607134,286.77573,1.7033540043005178,1394.8,80.324772,286.77573,3.376423895699482,531.76357,2.6348796966030217,401.8764,2.840460166215924,101.51,4.885209713537026,155.09434,4.666459049172752
27,909.71,17.75455,294.31,3.9212293,101.31,0.24457119032097197,1081.3288,76.925342,691.33132,33.02493,795.6,36.761453,531.56464,1.4402609579187242,401.68539,0.2502453134035614,154.90566,0.34566295517395673,1373.0137,39.556442,286.57674,1.8725357707637582,1394.6,73.609651,286.57674,3.372407229236242,531.56464,2.618555042081276,401.68539,2.8432782865964388,101.31,4.882982809679028,154.90566,4.679679944826043
28,908.71,17.710041,294.11,3.3795696,101.11,0.3951366825162026,1081.1295,75.489052,691.13211,32.446262,795.4,36.622033,531.36571,1.291047839264103,401.49438,0.2601934709519287,154.71698,0.39672367503740613,1372.0142,40.140542,286.37775,2.1731687629518723,1394.4,75.125816,286.37775,3.367862837048128,531.36571,2.602343160735897,401.49438,2.8452382290480713,101.11,4.880196917483797,154.71698,4.695652324962594
29,907.71,17.760719,293.91,3.0509017,100.91,0.5831438340262904,1080.9302,76.565821,690.93289,32.777759,795.2,36.690707,531.16679,1.1167613465936008,401.30337,0.5951098505363546,154.5283,0.04818078850746321,1371.0147,37.771665,286.17876,2.748756681848296,1394.2,79.336446,286.17876,3.362334218151704,531.16679,2.5880521534063994,401.30337,2.8485223494636456,100.91,4.87593656597371,154.5283,4.705224411492537
30,906.71,17.177947,293.71,2.9945219,100.71,0.29989822889257844,1080.7309,75.709059,690.73368,32.298502,795.0,36.55883,530.96786,0.6025304270555041,401.11236,0.5819995899412818,154.33962,0.25947949749110055,1370.0152,39.646681,285.97978,3.6966811421370647,1394.0,70.899432,285.97978,3.355094657862935,530.96786,2.577847172944496,401.11236,2.8530421100587184,100.71,4.872090971107421,154.33962,4.711843702508899
31,905.71,16.005304,293.51,3.2871354,100.51,0.7121060447355605,1080.5316,75.869482,690.53447,32.72683,794.8,36.914198,530.76893,0.6641973811502933,400.92135,0.6478416552611121,154.15094,0.11406776159047016,1369.0157,38.461172,285.78079,4.213141255317334,1393.8,68.798549,285.78079,3.3462098446826665,530.76893,2.570328418849707,400.92135,2.857764344738888,100.51,4.86768375526444,154.15094,4.71988053840953
32,904.71,17.860539,293.31,3.5049007,100.31,0.8782579755157238,1080.3323,75.22494,690.33526,32.119661,794.6,37.22202,530.57,0.469180929569073,400.73034,0.7672586810032147,153.96226,0.06833008686665565,1368.0162,33.962943,285.5818,5.084226947307391,1393.6,67.220161,285.5818,3.3357664526926083,530.57,2.563601170430927,400.73034,2.8631979189967853,100.31,4.860757824484276,153.96226,4.723804813133344
33,903.71,17.877999,293.11,3.3101021,100.11,0.809917970399729,1080.133,77.201551,690.13605,31.884726,794.4,36.351835,530.37107,0.2638156833817127,400.53933,0.9140769426572755,153.77358,-0.03019723732148094,1367.0167,36.925984,285.38281,5.411409809860739,1393.4,69.066559,285.38281,3.3239770901392607,530.37107,2.5592504166182874,400.53933,2.8696537573427245,100.11,4.853405929600271,153.77358,4.724625237321481
34,902.71,14.491965,292.91,3.3378754,99.91,0.5152189566984235,1079.9337,76.698752,689.93684,32.562217,794.2,37.194714,530.17214,0.3603339683437876,400.34831,0.8466955371948854,153.58491,0.2103817282930347,1366.0172,37.27734,285.18382,5.293169069077397,1393.2,75.97071,285.18382,3.3119530309226044,530.17214,2.5555457316562125,400.34831,2.8764149628051148,99.91,4.847635043301576,153.58491,4.728501671706965
35,901.71,16.404331,292.71,3.4174838,99.71,0.5934862985426061,1079.7344,76.227885,689.73763,33.261421,794.0,36.16583,529.97321,0.252352513093844,400.1573,0.7886724029922774,153.39623,0.43525994080623587,1365.0177,34.652581,284.98483,4.549148281454041,1393.0,74.664731,284.98483,3.300897518545959,529.97321,2.551909086906156,400.1573,2.8826942970077227,99.71,4.842806701457394,153.39623,4.742392559193764
36,900.71,17.49614,292.51,3.4502489,99.51,0.5750569301381434,1079.5351,76.617123,689.53842,32.753977,793.8,37.551772,529.77429,0.45211753593717763,399.96629,0.7203884515509724,153.20755,0.6879286906672606,1364.0182,36.318802,284.78584,3.5873216781864947,1392.8,76.3548,284.78584,3.2917581218135057,529.77429,2.5477278640628223,399.96629,2.8884886484490275,99.51,4.8377177698618565,153.20755,4.766557809332739
37,899.71,17.499564,292.31,3.3028519,99.31,0.7266426477088546,1079.3358,76.801215,689.33921,32.320522,793.6,37.347929,529.57536,0.3464056282216075,399.77528,0.6577390463146324,153.01887,0.29369107368071834,1363.0187,34.002172,284.58685,2.473092017384154,1392.6,73.403093,284.58685,3.284950682615846,529.57536,2.5429881717783926,399.77528,2.8937802536853674,99.31,4.832048952291146,153.01887,4.787677226319282
38,898.71,17.073178,292.11,3.4497934,99.11,0.4449932469787692,1079.1365,76.430497,689.14,33.091719,793.4,37.076047,529.37643,0.3755658423931787,399.58427,0.4960475445889303,152.83019,0.06138858621589183,1362.0192,36.513851,284.38787,1.5645238944846125,1392.4,69.312474,284.38787,3.2804156055153872,529.37643,2.5387028576068214,399.58427,2.89821045541107,99.11,4.826946553021231,152.83019,4.795316713784108
39,897.71,16.051797,291.91,3.6615389,98.91,0.7188769266167503,1078.9372,76.507021,688.94079,32.608773,793.2,36.452886,529.1775,0.09099685925981538,399.39326,0.27851325842235664,152.64151,0.20936241932025546,1361.0197,35.145672,284.18888,0.7373148650604064,1392.2,73.166626,284.18888,3.2778300349395937,529.1775,2.5359335407401846,399.39326,2.9011845415776434,98.91,4.821877973383249,152.64151,4.801141880679745
40,896.71,17.297279,291.71,4.0357782,98.71,0.6313591156614864,1078.7379,77.314211,688.74158,32.546536,793.0,36.778063,528.97857,0.10330605848214347,399.20225,0.33439935396504294,152.45283,0.3626789274641986,1360.0202,35.694131,283.98989,0.383610659385873,1392.0,70.415095,283.98989,3.276570940614127,528.97857,2.5347802415178564,399.20225,2.903537946034957,98.71,4.8159977843385136,152.45283,4.813449272535801
41,895.71,19.85688,291.51,4.1646876,98.51,0.642325227093834,1078.5386,77.189906,688.54237,32.817432,792.8,37.16134,528.77964,0.26817269781309117,399.01124,0.15626693959251847,152.26415,0.09703151780251584,1359.0207,33.956127,283.7909,0.22652219916313543,1391.8,67.629808,283.7909,3.2758856008368644,528.77964,2.532575302186909,399.01124,2.9054219604074816,98.51,4.810450972906166,152.26415,4.823339882197484
42,894.71,16.859213,291.31,3.6763547,98.31,0.4496500078579606,1078.3393,76.823417,688.34316,33.537027,792.6,37.062916,528.58071,0.12461199999999995,398.82022,0.3888327079300069,152.07547,0.04286790000000007,1358.0212,34.554139,283.59191,0.2045058571234124,1391.6,62.887156,283.59191,3.2754014428765874,528.58071,2.5302439,398.82022,2.907515092069993,98.31,4.805695492142039,152.07547,4.8263498
43,893.71,17.207837,291.11,3.5600349,98.11,0.5996190053388695,1078.14,76.903663,688.14395,33.161182,792.4,37.20179,528.38179,0.06293100000000029,398.62921,0.2154085000000001,151.88679,0.1815471999999998,1357.0217,34.979626,283.39292,0.3090625295725804,1391.4,69.485767,283.39292,3.2748245704274197,528.38179,2.5302439,398.62921,2.9098352,98.11,4.80112599466113,151.88679,4.8263498
44,892.71,17.015089,290.91,3.2077634,97.91,0.8414385127332782,1077.9407,75.636999,687.94474,32.936703,792.2,36.528837,528.18286,0.0,398.4382,0.12786680000000006,151.69811,0.0,1356.0223,33.553687,283.19393,0.010514698912095888,1391.2,69.28011,283.19393,3.274465601087904,528.18286,2.5302439,398.4382,2.9098352,97.91,4.794850287266722,151.69811,4.8263498
45,891.71,16.897469,290.71,3.6466311,97.71,0.9489993457818793,1077.7414,77.012326,687.74553,31.726302,792.0,36.544601,,,398.24719,0.0,151.50943,0.44660160000000015,1355.0228,35.254906,282.99494,0.2014412812754327,1391.0,68.019409,282.99494,3.274227518724567,,,398.24719,2.9098352,97.71,4.787053054218121,151.50943,4.8263498
46,890.71,16.920938,290.51,3.8686011,97.51,0.7021145325594986,1077.5421,78.054182,687.54632,32.049564,791.8,36.915019,,,398.05618,0.060108900000000354,151.32075,0.3076287999999998,1354.0233,34.77152,282.79596,0.07609290954601233,1390.8,71.298471,282.79596,3.2739157904539877,,,398.05618,2.9098352,97.51,4.779862567440501,151.32075,4.8263498
47,889.71,16.631954,290.31,3.7934742,97.31,0.8069370477799609,1077.3428,78.701475,687.34711,32.225606,791.6,36.842535,,,397.86517,0.08518970000000037,151.13208,0.2317802999999996,1353.0238,33.58716,282.59697,0.24438789381440484,1390.6,69.162881,282.59697,3.273555806185595,,,397.86517,2.9098352,97.31,4.773290752220039,151.13208,4.8263498
48,888.71,17.144893,290.11,3.7628562,97.11,0.8286895876793485,1077.1435,77.577713,687.14789,31.541655,791.4,37.424135,,,397.67416,0.1604508,150.9434,0.16790699999999958,1352.0243,35.752607,282.39798,0.19629800000000008,1390.4,64.570874,282.39798,3.2730608,,,397.67416,2.9098352,97.11,4.766167712320652,150.9434,4.8263498
49,887.71,17.76764,289.91,3.7649466,96.91,0.9452851230002945,1076.9442,77.636587,686.94868,31.345377,791.2,37.247487,,,397.48315,0.0964271000000001,150.75472,0.30979769999999984,1351.0248,34.050193,282.19899,0.12021939999999987,1390.2,65.793559,282.19899,3.2730608,,,397.48315,2.9098352,96.91,4.758442176999705,150.75472,4.8263498
50,886.71,17.781146,289.71,3.3126129,96.71,0.805694415613118,1076.7449,77.254184,686.74947,30.557401,791.0,37.5034,,,397.29213,0.2416056000000002,150.56604,0.17504779999999975,1350.0253,35.624692,282.0,0.0,1390.0,67.788744,282.0,3.2730608,,,397.29213,2.9098352,96.71,4.750816784386882,150.56604,4.8263498
51,885.71,18.303266,289.51,3.4427992,96.51,0.899033786591195,1076.5456,75.907315,686.55026,31.332,790.8,37.332161,,,397.10112,0.007392000000000287,150.37736,0.5207534999999996,1349.0258,34.548259,,,1389.8,67.284415,,,,,397.10112,2.9098352,96.51,4.743392813408805,150.37736,4.8263498
52,884.71,17.322515,289.31,3.5751003,96.31,0.9336914751468122,1076.3463,75.52852,686.35105,30.739909,790.6,37.414625,,,,,150.18868,0.08203419999999984,1348.0263,35.749585,,,1389.6,66.263166,,,,,,,96.31,4.735411424853188,150.18868,4.8263498
53,883.71,17.796535,289.11,3.6424435,96.11,0.9664011434007831,1076.147,76.787947,686.15184,30.905146,790.4,37.183963,,,,,150.0,0.23014970000000012,1347.0268,31.712132,,,1389.4,68.059587,,,,,,,96.11,4.727136656599217,150.0,4.8263498
54,882.71,18.726249,288.91,3.6790788,95.91,1.116478937690065,1075.9477,76.026791,685.95263,30.888594,790.2,37.387614,,,,,,,1346.0273,32.88629,,,1389.2,66.036359,,,,,,,95.91,4.718065862309935,,
55,881.71,19.637453,288.71,3.5043585,95.71,0.9162979360712313,1075.7484,76.781222,685.75342,31.505664,790.0,37.6318,,,,,,,1345.0278,34.639417,,,1389.0,64.92635,,,,,,,95.71,4.709213263928769,,
56,880.71,20.133583,288.51,3.6402067,95.51,1.0339933154639134,1075.5491,77.12539,685.55421,32.226953,789.8,37.647738,,,,,,,1344.0283,33.882008,,,1388.8,61.915262,,,,,,,95.51,4.7007198845360865,,
57,879.71,19.092629,288.31,3.7960259,95.31,0.9360800444606925,1075.3498,75.329415,685.355,31.701325,789.6,37.83806,,,,,,,1343.0288,30.983016,,,1388.6,65.682278,,,,,,,95.31,4.6921403555393075,,
58,878.71,17.378191,288.11,3.8091496,95.11,0.5322143622120974,1075.1505,76.600038,685.15579,30.788818,789.4,37.51676,,,,,,,1342.0293,33.289588,,,1388.4,63.48324,,,,,,,95.11,4.6857460377879026,,
59,877.71,19.070397,287.91,3.7527828,94.91,0.8614275734926791,1074.9512,75.877551,684.95658,32.090987,789.2,36.822547,,,,,,,1341.0298,34.01128,,,1388.2,65.657581,,,,,,,94.91,4.679676826507321,,
60,876.71,21.365359,287.71,4.3888337,94.71,0.9087975772250827,1074.7519,76.430021,684.75737,30.997216,789.0,37.438658,,,,,,,1340.0303,33.709485,,,1388.0,68.629907,,,,,,,94.71,4.671967622774917,,
61,875.71,19.330971,287.51,4.7246014,94.51,0.7198603658975049,1074.5526,75.44091,684.55816,30.823644,788.8,37.653444,,,,,,,1339.0308,32.21993,,,1387.8,66.488429,,,,,,,94.51,4.664874934102495,,
62,874.71,15.31368,287.31,4.8148217,94.31,0.5449860815596237,1074.3533,77.223483,684.35895,31.286602,788.6,38.190175,,,,,,,1338.0314,33.075396,,,1387.6,67.042477,,,,,,,94.31,4.659366618440377,,
63,873.71,19.583687,287.11,4.6416647,94.11,0.6405038047565261,1074.154,78.252035,684.15974,31.985673,788.4,37.24103,,,,,,,1337.0319,29.654832,,,1387.4,61.642561,,,,,,,94.11,4.654203895243474,,
64,872.71,19.885545,286.91,4.8824579,93.91,0.41178203352313236,1073.9547,77.238199,683.96053,30.971435,788.2,37.327467,,,,,,,1336.0324,33.598143,,,1387.2,64.081467,,,,,,,93.91,4.649621266476868,,
65,871.71,18.413862,286.71,4.9075529,93.71,0.7720214115511368,1073.7553,76.510269,683.76132,30.666251,788.0,37.488482,,,,,,,1335.0329,32.752829,,,1387.0,60.429502,,,,,,,93.71,4.644465888448863,,
